Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/Brisbane/96/2012	EPI450231	2012-06-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	7	0.01	0.00	0.00	0.00	0.00	0.00	2012.47	2012-06-19
A/SouthAfrica/3626/2013	EPI466626	2013-06-05	Africa	South Africa	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	6b	0.00	0.00	0.00	2.00	0.02	7.00	2013.43	2013-06-06
A/Bolivia/559/2013	EPI466837	2013-06-08	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	6b	0.00	0.00	0.00	2.00	0.02	6.00	2013.44	2013-06-08
A/Guangdong-Maonan/SWL1187/2017	EPI1030153	2017-03-07	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.00	0.00	6b	0.02	0.00	0.00	2.00	0.00	7.00	2017.18	2017-03-07
A/Newcaledonia/58/2014	EPI541256	2014-05-18	Oceania	New Caledonia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	6.00	2014.38	2014-05-19
A/Tasmania/24/2014	EPI540924	2014-07-04	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	6.00	2014.51	2014-07-04
A/Florida/62/2014	EPI552445	2014-10-27	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	7.00	2014.82	2014-10-28
A/Shizuoka-C/43/2016	EPI970720	2016-11-15	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.02	0.00	6b	0.01	0.00	0.00	3.00	0.00	11.00	2016.87	2016-11-14
A/Indiana/21/2016	EPI717210	2016-02-03	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	14.00	2016.10	2016-02-04
A/Perth/103/2015	EPI675550	2015-08-06	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2015.60	2015-08-06
A/Israel/Q-504/2015	EPI697729	2015-12-14	West Asia	Israel	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2015.96	2015-12-15
A/Minnesota/32/2015	EPI699804	2015-07-08	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2015.52	2015-07-09
A/Iowa/53/2015	EPI709630	2015-11-04	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2015.84	2015-11-04
A/Singapore/SGH0761/2016	EPI874122	2016-10-15	Southeast Asia	Singapore	unknown	Ministry Of Health Singapore	unknown	unknown	unknown	0.08	0.00	6b2	0.00	0.00	0.00	2.00	0.00	12.00	2016.79	2016-10-14
A/Yunnan-Hongta/SWL11417/2016	EPI885726	2016-12-02	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.92	2016-12-01
